,gene name,length
3259,CAMK2N2,1452
3260,CAMK4,11980
3261,CAMKK1,4616
3262,CAMKK2,7005
3263,CAMKMT,2661
3264,CAMKV,4005
3265,CAMLG,3127
3266,CAMP,745
3267,CAMSAP1,8051
3268,CAMSAP1-DT,1840
3269,CAMSAP2,8053
3270,CAMSAP3,4441
3271,CAMTA1,13533
3272,CAMTA1-AS1,678
3273,CAMTA1-AS2,1349
3274,CAMTA1-AS3,349
3275,CAMTA1-DT,745
3276,CAMTA1-IT1,740
3277,CAMTA2,5234
3278,CAMTA2-AS1,2277
3279,CAND1,11176
3280,CAND2,4917
3281,CANT1,6954
3282,CANT1P1,337
3283,CANX,10583
3284,CAP1,5845
3285,CAP1P1,1411
3286,CAP1P2,1409
3287,CAP2,3634
3288,CAP2P1,1390
3289,CAPG,5635
3290,CAPN1,3519
3291,CAPN1-AS1,1662
3292,CAPN10,3651
3293,CAPN10-DT,4602
3294,CAPN11,2718
3295,CAPN12,3236
3296,CAPN13,3731
3297,CAPN14,4233
3298,CAPN15,7326
3299,CAPN2,3803
3300,CAPN3,7916
3301,CAPN5,4913
3302,CAPN6,3532
3303,CAPN7,4536
3304,CAPN8,3795
3305,CAPN9,5023
3306,CAPN9-AS1,1345
3307,CAPNS1,2207
3308,CAPNS1P1,633
3309,CAPNS2,1004
3310,CAPRIN1,7414
3311,CAPRIN2,5629
3312,CAPS,2535
3313,CAPS2,5559
3314,CAPS2-AS1,2219
3315,CAPSL,1142
3316,CAPSL-DT,426
3317,CAPZA1,3210
3318,CAPZA1P1,833
3319,CAPZA1P2,840
3320,CAPZA1P3,845
3321,CAPZA1P4,731
3322,CAPZA1P5,698
3323,CAPZA2,5620
3324,CAPZA3,1070
3325,CAPZB,7616
3326,CAPZBP1,201
3327,CARD10,4446
3328,CARD11,4501
3329,CARD11-AS1,969
3330,CARD14,5320
3331,CARD16,4774
3332,CARD17P,1198
3333,CARD18,2020
3334,CARD19,913
3335,CARD6,4275
3336,CARD8,6600
3337,CARD8-AS1,1969
3338,CARD9,2989
3339,CARF,10090
3340,CARHSP1,9484
3341,CARHSP1-DT,593
3342,CARINH,8698
3343,CARM1,3295
3344,CARM1P1,1185
3345,CARMAL,2238
3346,CARMIL1,6431
3347,CARMIL2,4689
3348,CARMIL2P1,474
3349,CARMIL3,4615
3350,CARMN,16111
3351,CARNMT1,4882
3352,CARNMT1-AS1,1762
3353,CARNS1,4226
3354,CARS1,3185
3355,CARS1-AS1,2664
3356,CARS1P1,889
3357,CARS1P2,277
3358,CARS2,2123
3359,CARTPT,800
3360,CASC11,5965
3361,CASC15,32208
3362,CASC16,2594
3363,CASC17,2884
3364,CASC18,2548
3365,CASC19,15116
3366,CASC2,14160
3367,CASC20,2462
3368,CASC22,1816
3369,CASC23,1594
3370,CASC3,4997
3371,CASC6,3854
3372,CASC8,2933
3373,CASC9,2111
3374,CASD1,4289
3375,CASK,9710
3376,CASK-AS1,515
3377,CASKIN1,5839
3378,CASKIN2,5833
3379,CASKP1,582
3380,CASP1,4947
3381,CASP10,6929
3382,CASP12,1691
3383,CASP14,3145
3384,CASP16P,1412
3385,CASP1P1,212
3386,CASP1P2,2550
3387,CASP2,4428
3388,CASP3,4871
3389,CASP3P1,609
3390,CASP4,1398
3391,CASP4LP,4744
3392,CASP5,4499
3393,CASP6,1640
3394,CASP7,5904
3395,CASP8,3902
3396,CASP8AP2,6088
3397,CASP9,4607
3398,CASQ1,2093
3399,CASQ2,5664
3400,CASR,10791
3401,CASS4,4366
3402,CAST,12110
3403,CASTOR1,1759
3404,CASTOR2,8100
3405,CASTOR3P,5429
3406,CASZ1,8526
3407,CAT,2455
3408,CATIP,1371
3409,CATIP-AS1,1096
3410,CATIP-AS2,2264
3411,CATSPER1,2581
3412,CATSPER2,4013
3413,CATSPER2P1,4131
3414,CATSPER2P2,586
3415,CATSPER3,1355
3416,CATSPER4,1867
3417,CATSPERB,3699
3418,CATSPERD,2556
3419,CATSPERE,3436
3420,CATSPERG,3746
3421,CATSPERZ,991
3422,CAV1,3120
3423,CAV2,3842
3424,CAV2-DT,3073
3425,CAV3,1422
3426,CAVIN1,3570
3427,CAVIN2,3182
3428,CAVIN2-AS1,6312
3429,CAVIN3,1169
3430,CAVIN4,3157
3431,CBARP,6314
3432,CBARP-DT,1078
3433,CBFA2T2,9337
3434,CBFA2T3,4659
3435,CBFB,3167
3436,CBL,11209
3437,CBLB,8669
3438,CBLC,3474
3439,CBLIF,1511
3440,CBLL1,4408
3441,CBLL1-AS1,3516
3442,CBLL1P1,1600
3443,CBLL2,1549
3444,CBLN1,2442
3445,CBLN2,7006
3446,CBLN3,5542
3447,CBLN4,3154
3448,CBR1,2450
3449,CBR1-AS1,159
3450,CBR3,1002
3451,CBR3-AS1,6155
3452,CBR4,4431
3453,CBR4-DT,985
3454,CBS,8098
3455,CBX1,3286
3456,CBX1P1,427
3457,CBX1P2,458
3458,CBX1P3,527
3459,CBX1P4,457
3460,CBX1P5,559
3461,CBX2,5359
3462,CBX3,3688
3463,CBX3P1,554
3464,CBX3P10,546
3465,CBX3P2,535
3466,CBX3P3,532
3467,CBX3P4,354
3468,CBX3P5,521
3469,CBX3P6,527
3470,CBX3P7,502
3471,CBX3P8,525
3472,CBX3P9,552
3473,CBX4,2704
3474,CBX5,12408
3475,CBX5P1,561
3476,CBX6,6068
3477,CBX7,4252
3478,CBX8,3752
3479,CBY1,2938
3480,CBY1P1,405
3481,CBY2,2116
3482,CBY3,868
3483,CC2D1A,3789
3484,CC2D1B,7861
3485,CC2D2A,8687
3486,CC2D2B,6667
3487,CCAR1,5540
3488,CCAR2,4823
3489,CCAT2,1752
3490,CCBE1,6655
3491,CCDC102A,3194
3492,CCDC102B,5588
3493,CCDC106,2574
3494,CCDC107,1459
3495,CCDC110,2953
3496,CCDC112,2977
3497,CCDC116,2811
3498,CCDC117,4108
3499,CCDC12,1572
3500,CCDC120,4275
3501,CCDC121,2897
3502,CCDC121P1,829
3503,CCDC122,2714
3504,CCDC124,3234
3505,CCDC125,4294
3506,CCDC126,8757
3507,CCDC127,9311
3508,CCDC12P1,481
3509,CCDC13,5456
3510,CCDC13-AS1,2370
3511,CCDC13-AS2,1981
3512,CCDC134,7436
3513,CCDC136,4787
3514,CCDC137,2095
3515,CCDC137P1,838
3516,CCDC137P2,179
3517,CCDC138,3393
3518,CCDC14,10321
3519,CCDC140,1699
3520,CCDC141,14287
3521,CCDC142,4454
3522,CCDC144A,9392
3523,CCDC144BP,4310
3524,CCDC144CP,4520
3525,CCDC144NL,5557
3526,CCDC144NL-AS1,12109
3527,CCDC146,3344
3528,CCDC148,3466
3529,CCDC148-AS1,795
3530,CCDC149,6868
3531,CCDC15,4565
3532,CCDC15-DT,2762
3533,CCDC150,4164
3534,CCDC152,4134
3535,CCDC154,2566
3536,CCDC157,5744
3537,CCDC158,4445
3538,CCDC159,1555
3539,CCDC160,2543
3540,CCDC162P,6670
3541,CCDC163,2288
3542,CCDC166,1320
3543,CCDC167,591
3544,CCDC168,21470
3545,CCDC169,6542
3546,CCDC169-SOHLH2,2051
3547,CCDC17,2249
3548,CCDC170,5310
3549,CCDC171,8034
3550,CCDC172,1925
3551,CCDC174,2944
3552,CCDC175,2773
3553,CCDC177,4182
3554,CCDC178,3769
3555,CCDC179,848
3556,CCDC18,7529
3557,CCDC18-AS1,4535
3558,CCDC180,7395
3559,CCDC181,4739
3560,CCDC182,805
3561,CCDC183,1716
3562,CCDC183-AS1,2386
3563,CCDC184,2283
3564,CCDC185,2051
3565,CCDC186,8411
3566,CCDC187,10823
3567,CCDC188,1476
3568,CCDC188BP,1202
3569,CCDC190,5145
3570,CCDC191,3980
3571,CCDC192,946
3572,CCDC194,4056
3573,CCDC195,1078
3574,CCDC196,1107
3575,CCDC197,2071
3576,CCDC198,3306
3577,CCDC200,832
3578,CCDC201,3730
3579,CCDC22,2402
3580,CCDC24,1989
3581,CCDC25,3638
3582,CCDC26,46828
3583,CCDC27,2125
3584,CCDC28A,1512
3585,CCDC28A-AS1,2993
3586,CCDC28B,2800
3587,CCDC3,3710
3588,CCDC30,10825
3589,CCDC32,5554
3590,CCDC33,4534
3591,CCDC33-AS1,652
3592,CCDC34,3077
3593,CCDC34P1,517
3594,CCDC38,4282
3595,CCDC39,3912
3596,CCDC39-AS1,464
3597,CCDC40,6064
3598,CCDC42,1600
3599,CCDC43,2126
3600,CCDC47,4834
3601,CCDC50,9148
3602,CCDC51,6589
3603,CCDC54,1197
3604,CCDC54-AS1,4493
3605,CCDC57,5446
3606,CCDC59,1607
3607,CCDC6,6200
3608,CCDC60,2873
3609,CCDC61,4007
3610,CCDC62,4280
3611,CCDC63,1993
3612,CCDC65,2243
3613,CCDC66,3293
3614,CCDC68,5051
3615,CCDC69,3430
3616,CCDC7,5196
3617,CCDC70,1162
3618,CCDC71,3267
3619,CCDC71L,6799
3620,CCDC73,7332
3621,CCDC74A,1986
3622,CCDC74B,2346
3623,CCDC74BP1,1123
3624,CCDC77,3849
3625,CCDC78,1682
3626,CCDC8,3236
3627,CCDC80,12870
3628,CCDC81,2941
3629,CCDC82,18926
3630,CCDC83,2358
3631,CCDC85A,4458
3632,CCDC85B,963
3633,CCDC85C,17128
3634,CCDC86,2002
3635,CCDC86-AS1,491
3636,CCDC87,2888
3637,CCDC88A,13650
3638,CCDC88B,5156
3639,CCDC88C,8974
3640,CCDC88C-DT,461
3641,CCDC89,2348
3642,CCDC9,2982
3643,CCDC90B,4195
3644,CCDC90B-AS1,2643
3645,CCDC91,3264
3646,CCDC92,9297
3647,CCDC92B,4643
3648,CCDC93,7051
3649,CCDC97,3422
3650,CCDC9B,5299
3651,CCDST,12336
3652,CCEPR,3089
3653,CCER1,2962
3654,CCER2,1085
3655,CCHCR1,3109
3656,CCIN,1947
3657,CCK,2571
3658,CCKAR,1746
3659,CCKBR,2258
3660,CCL1,594
3661,CCL11,1005
3662,CCL13,823
3663,CCL14,3301
3664,CCL15,588
3665,CCL15-CCL14,999
3666,CCL16,1873
3667,CCL17,621
3668,CCL18,1332
3669,CCL19,756
3670,CCL2,1139
3671,CCL20,842
3672,CCL21,1011
3673,CCL22,3143
3674,CCL23,630
3675,CCL24,1998
3676,CCL25,2036
3677,CCL26,703
3678,CCL27,417
3679,CCL28,3356
3680,CCL3,780
3681,CCL3-AS1,1850
3682,CCL3L3,784
3683,CCL4,667
3684,CCL4L2,1397
3685,CCL5,1364
3686,CCL7,863
3687,CCL8,862
3688,CCM2,3053
3689,CCM2L,2712
3690,CCN1,2367
3691,CCN2,2422
3692,CCN3,2463
3693,CCN4,5190
3694,CCN5,1916
3695,CCN6,1682
3696,CCNA1,2872
3697,CCNA2,2803
3698,CCNB1,2341
3699,CCNB1IP1,10147
3700,CCNB1IP1P1,839
3701,CCNB1IP1P2,818
3702,CCNB1IP1P3,829
3703,CCNB2,2701
3704,CCNB2P1,1150
3705,CCNB3,4703
3706,CCNB3P1,1431
3707,CCNC,4107
3708,CCND1,4349
3709,CCND2,7180
3710,CCND2-AS1,3611
3711,CCND2P1,799
3712,CCND3,3901
3713,CCND3P1,580
3714,CCND3P2,537
3715,CCNDBP1,3515
3716,CCNE1,2889
3717,CCNE2,5687
3718,CCNF,4280
3719,CCNG1,3580
3720,CCNG1P1,885
3721,CCNG2,6706
3722,CCNG2P1,1000
3723,CCNH,7740
3724,CCNHP1,678
3725,CCNI,4959
3726,CCNI2,2810
3727,CCNJ,4781
3728,CCNJL,6617
3729,CCNJP1,1149
3730,CCNJP2,1163
3731,CCNK,3905
3732,CCNL1,3096
3733,CCNL2,3930
3734,CCNL2P1,969
3735,CCNO,1361
3736,CCNO-DT,1799
3737,CCNP,1950
3738,CCNQ,1314
3739,CCNQP1,645
3740,CCNQP2,640
3741,CCNQP3,619
3742,CCNT1,7079
3743,CCNT2,6924
3744,CCNT2-AS1,4623
3745,CCNT2P1,1315
3746,CCNY,5642
3747,CCNY-AS1,2530
3748,CCNYL1,4412
3749,CCNYL1B,3601
3750,CCNYL2,3831
3751,CCNYL3,1023
3752,CCNYL4,888
3753,CCNYL5,995
3754,CCNYL6,2692
3755,CCNYL7,726
3756,CCP110,9084
3757,CCPG1,7338
3758,CCR1,3160
3759,CCR10,2517
3760,CCR12P,1078
3761,CCR2,3763
3762,CCR3,2382
3763,CCR4,3796
3764,CCR5,3580
3765,CCR5AS,3577
3766,CCR6,4279
3767,CCR7,5196
3768,CCR8,4073
3769,CCR9,5444
3770,CCRL2,4124
3771,CCS,1098
3772,CCSAP,5458
3773,CCSER1,11296
3774,CCSER2,8045
3775,CCSER2P1,3105
3776,CCT2,2492
3777,CCT3,2199
3778,CCT3P1,616
3779,CCT4,2431
3780,CCT4P1,1558
3781,CCT4P2,1548
3782,CCT5,4001
3783,CCT5-AS1,2550
3784,CCT5P1,1618
3785,CCT5P2,1624
3786,CCT6A,2697
3787,CCT6B,1883
3788,CCT6P1,1544
3789,CCT6P2,1593
3790,CCT6P3,3982
3791,CCT6P4,1589
3792,CCT7,2031
3793,CCT7P1,1611
3794,CCT7P2,1454
3795,CCT8,2109
3796,CCT8L1P,1674
3797,CCT8L2,2060
3798,CCT8P1,1657
3799,CCZ1,2559
3800,CCZ1B,2362
3801,CCZ1P1,447
3802,CD101,5614
3803,CD101-AS1,3167
3804,CD109,9452
3805,CD109-AS1,2860
3806,CD14,1647
3807,CD151,3504
3808,CD160,5475
3809,CD163,5058
3810,CD163L1,4746
3811,CD164,3258
3812,CD164L2,1634
3813,CD177,3551
3814,CD177P1,935
3815,CD180,5388
3816,CD19,1924
3817,CD1A,1809
3818,CD1B,1392
3819,CD1C,2442
3820,CD1D,3995
3821,CD1E,2117
3822,CD2,1794
3823,CD200,3440
3824,CD200LP,304
3825,CD200R1,3890
3826,CD200R1L,1605
3827,CD200R1L-AS1,697
3828,CD200R1P1,163
3829,CD207,1866
3830,CD209,4414
3831,CD22,3552
3832,CD226,13225
3833,CD24,3045
3834,CD244,2527
3835,CD247,4335
3836,CD248,2551
3837,CD24P1,225
3838,CD24P2,219
3839,CD24P4,243
3840,CD24P5,235
3841,CD27,1367
3842,CD27-AS1,2718
3843,CD274,3685
3844,CD276,7928
3845,CD28,5687
3846,CD2AP,5452
3847,CD2AP-DT,1720
3848,CD2BP2,3768
3849,CD2BP2-DT,1672
3850,CD300A,2306
3851,CD300C,1524
3852,CD300E,3761
3853,CD300H,606
3854,CD300LB,4895
3855,CD300LD,1303
3856,CD300LD-AS1,7233
3857,CD300LF,2076
3858,CD300LG,4804
3859,CD302,4036
3860,CD320,1619
3861,CD33,4831
3862,CD34,9282
3863,CD36,10386
3864,CD37,2191
3865,CD38,5620
3866,CD3D,5239
3867,CD3E,1434
3868,CD3G,2690
3869,CD4,3572
3870,CD40,1828
3871,CD40LG,1852
3872,CD44,6123
3873,CD44-AS1,587
3874,CD44-DT,3904
3875,CD46,3410
3876,CD46P1,763
3877,CD47,5502
3878,CD48,3254
3879,CD5,3157
3880,CD52,467
3881,CD53,1917
3882,CD55,5777
3883,CD58,1749
3884,CD59,9433
3885,CD5L,2204
3886,CD6,3257
3887,CD63,4355
3888,CD63-AS1,1474
3889,CD68,1964
3890,CD69,2124
3891,CD7,2487
3892,CD70,1471
3893,CD72,2089
3894,CD74,1766
3895,CD79A,1344
3896,CD79B,1306
3897,CD80,3555
3898,CD81,3188
3899,CD81-AS1,1460
3900,CD82,5293
3901,CD82-AS1,543
3902,CD83,6293
3903,CD83P1,572
3904,CD84,8334
3905,CD84P1,335
3906,CD86,2920
3907,CD8A,3049
3908,CD8B,5289
3909,CD8B2,5157
3910,CD9,2873
3911,CD93,6681
3912,CD96,4755
3913,CD99,4556
3914,CD99L2,3949
3915,CD99P1,17252
3916,CDA,1205
3917,CDADC1,3394
3918,CDAN1,4688
3919,CDC123,1871
3920,CDC14A,5435
3921,CDC14B,6858
3922,CDC14C,2908
3923,CDC16,2412
3924,CDC20,1866
3925,CDC20-DT,1387
3926,CDC20B,2984
3927,CDC20P1,1500
3928,CDC23,3922
3929,CDC25A,3844
3930,CDC25B,4887
3931,CDC25C,2553
3932,CDC26,2873
3933,CDC26P1,258
3934,CDC27,5865
3935,CDC27P1,715
3936,CDC27P2,1922
3937,CDC27P3,1910
3938,CDC34,1566
3939,CDC37,2109
3940,CDC37L1,3633
3941,CDC37L1-DT,1113
3942,CDC37P1,959
3943,CDC37P2,1029
3944,CDC40,4380
3945,CDC42,23737
3946,CDC42-AS1,2574
3947,CDC42-IT1,692
3948,CDC42BPA,11251
3949,CDC42BPB,6895
3950,CDC42BPG,6242
3951,CDC42EP1,4207
3952,CDC42EP2,2901
3953,CDC42EP3,8498
3954,CDC42EP3-AS1,9336
3955,CDC42EP3P1,764
3956,CDC42EP4,5227
3957,CDC42EP5,1679
3958,CDC42P1,548
3959,CDC42P2,569
3960,CDC42P3,633
3961,CDC42P4,563
3962,CDC42P5,553
3963,CDC42P6,576
3964,CDC42P7,485
3965,CDC42SE1,4729
3966,CDC42SE2,4477
3967,CDC45,2191
3968,CDC5L,6382
3969,CDC6,4809
3970,CDC7,5832
3971,CDC73,15924
3972,CDCA2,3603
3973,CDCA3,3547
3974,CDCA3P1,401
3975,CDCA4,7268
3976,CDCA4P1,624
3977,CDCA4P2,718
3978,CDCA4P3,689
3979,CDCA4P4,680
3980,CDCA5,2647
3981,CDCA7,2833
3982,CDCA7L,4539
3983,CDCA7P1,1117
3984,CDCA7P2,1104
3985,CDCA8,2421
3986,CDCP1,6295
3987,CDCP2,3510
3988,CDH1,4814
3989,CDH10,3439
3990,CDH11,6901
3991,CDH12,4557
3992,CDH12P1,295
3993,CDH12P2,298
3994,CDH12P3,295
3995,CDH12P4,295
3996,CDH13,9506
3997,CDH13-AS1,1529
3998,CDH13-AS2,4964
3999,CDH15,2926
4000,CDH16,4231
4001,CDH17,7074
4002,CDH18,5986
4003,CDH18-AS1,2278
4004,CDH19,6449
4005,CDH2,4320
4006,CDH2-AS1,833
4007,CDH20,4165
4008,CDH22,4381
4009,CDH23,16970
4010,CDH23-AS1,378
4011,CDH24,3552
4012,CDH26,4833
4013,CDH3,4897
4014,CDH3-AS1,1682
4015,CDH4,7516
4016,CDH4-AS1,1483
4017,CDH4-AS2,2000
4018,CDH5,5286
4019,CDH6,9217
4020,CDH7,13832
4021,CDH8,11810
4022,CDH8-AS1,714
4023,CDH9,3082
4024,CDHR1,7473
4025,CDHR17P,2889
4026,CDHR18P,2382
4027,CDHR2,5690
4028,CDHR3,6453
4029,CDHR4,3198
4030,CDHR5,3944
4031,CDIN1,3490
4032,CDIP1,7595
4033,CDIPT,2339
4034,CDIPTOSP,1002
4035,CDK1,3915
4036,CDK10,3682
4037,CDK11A,3433
4038,CDK11B,4185
4039,CDK12,8336
4040,CDK13,9660
4041,CDK13-DT,2456
4042,CDK14,11317
4043,CDK15,5079
4044,CDK16,6651
4045,CDK17,5128
4046,CDK18,4653
4047,CDK19,6528
4048,CDK2,2393
4049,CDK20,4105
4050,CDK2AP1,2800
4051,CDK2AP1P1,357
4052,CDK2AP2,1923
4053,CDK2AP2P1,328
4054,CDK2AP2P2,367
4055,CDK2AP2P3,372
4056,CDK3,1747
4057,CDK4,1961
4058,CDK4P1,828
4059,CDK5,3553
4060,CDK5P1,877
4061,CDK5R1,4215
4062,CDK5R2,2490
4063,CDK5R2-AS1,5279
4064,CDK5RAP1,4851
4065,CDK5RAP2,7372
4066,CDK5RAP3,2024
4067,CDK5RAP3P1,1519
4068,CDK6,12155
4069,CDK6-AS1,1712
4070,CDK7,1845
4071,CDK7P1,693
4072,CDK8,3402
4073,CDK8P1,601
4074,CDK8P2,547
4075,CDK9,2483
4076,CDKAL1,5602
4077,CDKL1,6309
4078,CDKL2,5919
4079,CDKL3,2729
4080,CDKL4,3707
4081,CDKL5,16473
4082,CDKN1A,6876
4083,CDKN1B,4496
4084,CDKN1C,2028
4085,CDKN2A,2713
4086,CDKN2A-AS1,1264
4087,CDKN2AIP,3899
4088,CDKN2AIPNL,1762
4089,CDKN2AIPNLP1,302
4090,CDKN2AIPNLP2,352
4091,CDKN2AIPNLP3,309
4092,CDKN2B,3976
4093,CDKN2B-AS1,18916
4094,CDKN2C,3105
4095,CDKN2D,1505
4096,CDKN3,1747
4097,CDNF,2701
4098,CDO1,1746
4099,CDON,9870
4100,CDPF1,3604
4101,CDPF1P1,1434
4102,CDR1,789
4103,CDR2,2704
4104,CDR2-DT,1455
4105,CDR2L,3585
4106,CDRT15,779
4107,CDRT15L2,1048
4108,CDRT15P1,564
4109,CDRT15P10,586
4110,CDRT15P11,993
4111,CDRT15P12,635
4112,CDRT15P13,1048
4113,CDRT15P14,579
4114,CDRT15P2,416
4115,CDRT15P3,1622
4116,CDRT15P4,579
4117,CDRT15P5,555
4118,CDRT15P6,581
4119,CDRT15P7,578
4120,CDRT15P8,586
4121,CDRT15P9,509
4122,CDRT4,3554
4123,CDRT7,767
4124,CDRT8,774
4125,CDS1,4653
4126,CDS2,9167
4127,CDSN,2555
4128,CDT1,2685
4129,CDV3,4366
4130,CDV3P1,739
4131,CDX1,1775
4132,CDX2,4214
4133,CDX4,1699
4134,CDY1,2670
4135,CDY10P,1567
4136,CDY11P,1651
4137,CDY12P,1015
4138,CDY13P,1015
4139,CDY14P,1014
4140,CDY15P,1570
4141,CDY17P,1282
4142,CDY18P,1609
4143,CDY19P,1613
4144,CDY1B,2675
4145,CDY20P,1279
4146,CDY22P,1554
4147,CDY23P,1014
4148,CDY2A,1960
4149,CDY2B,1961
4150,CDY3P,1618
4151,CDY4P,1513
4152,CDY5P,1580
4153,CDY6P,1266
4154,CDY7P,1604
4155,CDY8P,1279
4156,CDY9P,1580
4157,CDYL,4236
4158,CDYL-AS1,670
4159,CDYL2,8436
4160,CDYLP1,1458
4161,CEACAM1,3679
4162,CEACAM16,1697
4163,CEACAM16-AS1,3786
4164,CEACAM18,1908
4165,CEACAM19,3265
4166,CEACAM20,2175
4167,CEACAM21,2495
4168,CEACAM22P,3103
4169,CEACAM3,1167
4170,CEACAM4,1286
4171,CEACAM5,3719
4172,CEACAM6,2662
4173,CEACAM7,5273
4174,CEACAM8,2549
4175,CEACAMP1,1035
4176,CEACAMP10,496
4177,CEACAMP11,583
4178,CEACAMP2,440
4179,CEACAMP3,638
4180,CEACAMP4,421
4181,CEACAMP5,961
4182,CEACAMP6,574
4183,CEACAMP7,496
4184,CEACAMP8,580
4185,CEACAMP9,513
4186,CEBPA,2601
4187,CEBPA-DT,1810
4188,CEBPB,1957
4189,CEBPB-AS1,2648
4190,CEBPD,1252
4191,CEBPE,1191
4192,CEBPG,4721
4193,CEBPZ,3411
4194,CEBPZOS,9536
4195,CECR2,10232
4196,CECR3,1915
4197,CECR7,330
4198,CECR9,199
4199,CEDORA,6384
4200,CEL,2381
4201,CELA1,953
4202,CELA2A,916
4203,CELA2B,915
4204,CELA3A,906
4205,CELA3B,906
4206,CELF1,9798
4207,CELF2,10510
4208,CELF2-AS1,3737
4209,CELF2-AS2,3573
4210,CELF2-AS3,430
4211,CELF2-DT,9304
4212,CELF3,5582
4213,CELF4,4153
4214,CELF5,4776
4215,CELF6,3907
4216,CELF6-AS1,3148
4217,CELP,1125
4218,CELSR1,12039
4219,CELSR1P1,862
4220,CELSR2,11015
4221,CELSR3,11933
4222,CEMIP,7406
4223,CEMIP2,6444
4224,CEMP1,1383
4225,CENATAC,1272
4226,CENATAC-DT,1359
4227,CENATACP1,646
4228,CEND1,1799
4229,CEND1P1,455
4230,CENPA,1612
4231,CENPB,2890
4232,CENPBD1P,2760
4233,CENPBD2P,469
4234,CENPC,6883
4235,CENPCP1,2578
4236,CENPE,9126
4237,CENPF,10450
4238,CENPH,1395
4239,CENPI,6935
4240,CENPIP1,902
4241,CENPK,3138
4242,CENPL,3148
4243,CENPM,2320
4244,CENPN,5312
4245,CENPN-AS1,2779
4246,CENPNP1,1376
4247,CENPNP2,1017
4248,CENPO,6282
4249,CENPP,9315
4250,CENPPP1,476
4251,CENPQ,2691
4252,CENPS,1184
4253,CENPS-CORT,2244
4254,CENPT,3387
4255,CENPU,2518
4256,CENPUP1,1202
4257,CENPUP2,1186
4258,CENPV,1139
4259,CENPVL1,1620
4260,CENPVL2,1620
4261,CENPVL3,1893
4262,CENPW,854
4263,CENPX,1208
4264,CEP104,8124
4265,CEP112,4589
4266,CEP120,5634
4267,CEP126,7048
4268,CEP128,8114
4269,CEP131,3990
4270,CEP135,7034
4271,CEP15,3550
4272,CEP152,6655
4273,CEP152-AS1,636
4274,CEP162,5268
4275,CEP164,8355
4276,CEP164P1,418
4277,CEP170,8199
4278,CEP170B,7141
4279,CEP170P1,4812
4280,CEP19,3504
4281,CEP192,8774
4282,CEP192-DT,637
4283,CEP192P1,2077
4284,CEP19P1,485
4285,CEP20,2566
4286,CEP250,17490
4287,CEP250-AS1,1241
4288,CEP290,10009
4289,CEP295,8053
4290,CEP295NL,2091
4291,CEP350,14455
4292,CEP41,11837
4293,CEP43,17269
4294,CEP44,7869
4295,CEP55,2693
4296,CEP57,4822
4297,CEP57L1,16532
4298,CEP57L1P1,1201
4299,CEP63,11286
4300,CEP68,9886
4301,CEP70,4366
4302,CEP72,4005
4303,CEP72-DT,3129
4304,CEP76,2925
4305,CEP78,11659
4306,CEP83,5423
4307,CEP83-DT,2485
4308,CEP85,4680
4309,CEP85L,8271
4310,CEP89,8833
4311,CEP95,3413
4312,CEP97,8422
4313,CEPT1,4093
4314,CER1,1231
4315,CERCAM,5309
4316,CERK,4478
4317,CERKL,4982
4318,CERNA1,3020
4319,CERNA2,1875
4320,CERNA3,1079
4321,CEROX1,5357
4322,CERS1,3767
4323,CERS2,5496
4324,CERS2-AS1,642
4325,CERS3,4323
4326,CERS3-AS1,1597
4327,CERS4,8818
4328,CERS5,3007
4329,CERS6,6899
4330,CERS6-AS1,3879
4331,CERT1,11060
4332,CES1,2340
4333,CES1P1,3383
4334,CES1P2,1242
4335,CES2,4334
4336,CES3,4304
4337,CES4A,3416
4338,CES5A,3048
4339,CES5AP1,859
4340,CETN1,1735
4341,CETN2,1438
4342,CETN3,3257
4343,CETN4P,469
4344,CETP,2325
4345,CFAP100,2642
4346,CFAP100-DT,1946
4347,CFAP107,3564
4348,CFAP119,2049
4349,CFAP126,783
4350,CFAP141,674
4351,CFAP144,693
4352,CFAP144P1,1595
4353,CFAP144P2,399
4354,CFAP157,3808
4355,CFAP161,1612
4356,CFAP184,2153
4357,CFAP20,1351
4358,CFAP206,2539
4359,CFAP20DC,5928
4360,CFAP20DC-AS1,3976
4361,CFAP20DC-DT,5349
4362,CFAP210,2153
4363,CFAP221,4041
4364,CFAP251,4374
4365,CFAP263,5272
4366,CFAP276,918
4367,CFAP298,5309
4368,CFAP298-TCP10L,6419
4369,CFAP299,930
4370,CFAP300,2415
4371,CFAP36,2349
4372,CFAP410,2593
4373,CFAP418,3340
4374,CFAP418-AS1,7812
4375,CFAP43,7020
4376,CFAP44,10635
4377,CFAP44-AS1,1022
4378,CFAP45,2048
4379,CFAP46,9173
4380,CFAP47,10888
4381,CFAP52,2346
4382,CFAP53,1833
4383,CFAP53P1,1162
4384,CFAP54,9776
4385,CFAP57,5127
4386,CFAP58,3491
4387,CFAP58-DT,1200
4388,CFAP61,5219
4389,CFAP61-AS1,568
4390,CFAP65,8335
4391,CFAP68,3514
4392,CFAP69,3915
4393,CFAP69P1,1030
4394,CFAP70,3769
4395,CFAP73,2041
4396,CFAP74,5412
4397,CFAP77,2149
4398,CFAP90,2331
4399,CFAP91,4860
4400,CFAP92,9676
4401,CFAP95,1346
4402,CFAP95-DT,2340
4403,CFAP96,2328
4404,CFAP97,8256
4405,CFAP97D1,3761
4406,CFAP97D1-AS1,494
