gene_id,gene_symbol,chromosome,start,end,exon_length_bp
ENSMUSG00000027485,Bpifb1,chr2,154032738,154062289,5719
ENSMUSG00000027487,Cdk5rap1,chr2,154177298,154216854,16072
ENSMUSG00000027488,Snta1,chr2,154218233,154250140,21045
ENSMUSG00000027489,Necab3,chr2,154386304,154400950,14005
ENSMUSG00000027490,E2f1,chr2,154401326,154411812,18986
ENSMUSG00000027495,Fam210b,chr2,172187473,172199480,25583
ENSMUSG00000027496,Aurka,chr2,172198109,172212849,20351
ENSMUSG00000027498,Cstf1,chr2,172212557,172224377,42286
ENSMUSG00000027499,Pkia,chr3,7431432,7510429,142864
ENSMUSG00000027500,Stmn2,chr3,8574151,8626667,14581
ENSMUSG00000027502,Rtf2,chr2,172282458,172312206,26472
ENSMUSG00000027505,Fam209,chr2,172314440,172316255,2146
ENSMUSG00000027506,Tpd52,chr3,8990653,9069849,118420
ENSMUSG00000027508,Pag1,chr3,9752539,9898739,32942
ENSMUSG00000027509,Rae1,chr2,172841899,172857532,23877
ENSMUSG00000027510,Rbm38,chr2,172862291,172876527,11328
ENSMUSG00000027513,Pck1,chr2,172994744,173001066,15658
ENSMUSG00000027514,Zbp1,chr2,173033815,173060724,6375
ENSMUSG00000027517,Ankrd60,chr2,173410454,173420134,2935
ENSMUSG00000027518,Cimip1,chr2,173364369,173370294,1388
ENSMUSG00000027519,Rab22a,chr2,173501553,173549136,25209
ENSMUSG00000027520,Zdbf2,chr1,63312363,63353735,37325
ENSMUSG00000027522,Stx16,chr2,173917994,173941567,26742
ENSMUSG00000027523,Gnas,chr2,174126022,174188537,44010
ENSMUSG00000027524,Edn3,chr2,174602088,174625835,23181
ENSMUSG00000027525,Phactr3,chr2,177760768,177980285,68302
ENSMUSG00000027528,Fabp9,chr3,10258676,10262347,5201
ENSMUSG00000027530,Fabp12,chr3,10309269,10366433,21216
ENSMUSG00000027531,Impa1,chr3,10377016,10396499,17618
ENSMUSG00000027533,Fabp5,chr3,10077602,10081674,6697
ENSMUSG00000027534,Snx16,chr3,10482640,10505194,34114
ENSMUSG00000027536,Chmp4c,chr3,10431933,10493919,13473
ENSMUSG00000027540,Ptpn1,chr2,167773944,167821309,35524
ENSMUSG00000027544,Nfatc2,chr2,168318330,168443693,21002
ENSMUSG00000027546,Atp9a,chr2,168476168,168584329,96971
ENSMUSG00000027547,Sall4,chr2,168590252,168609863,11540
ENSMUSG00000027550,Lrrcc1,chr3,14598804,14637719,17360
ENSMUSG00000027551,Zfp64,chr2,168727193,168797558,44575
ENSMUSG00000027552,E2f5,chr3,14643676,14672404,8784
ENSMUSG00000027555,Car13,chr3,14706783,14728077,2318
ENSMUSG00000027556,Car1,chr3,14831269,14873459,6548
ENSMUSG00000027559,Car3,chr3,14928489,14937595,39810
ENSMUSG00000027560,Dok5,chr2,170573690,170721695,11992
ENSMUSG00000027562,Car2,chr3,14951317,14967568,5832
ENSMUSG00000027564,Cypt12,chr3,18002574,18004375,550
ENSMUSG00000027566,Psma7,chr2,179678155,179684421,11076
ENSMUSG00000027568,Ntsr1,chr2,180141687,180186773,7686
ENSMUSG00000027569,Mrgbp,chr2,180222999,180228097,11389
ENSMUSG00000027570,Col9a3,chr2,180239583,180264063,8863
ENSMUSG00000027573,Gid8,chr2,180351910,180363401,38795
ENSMUSG00000027574,Nkain4,chr2,180576559,180596512,2621
ENSMUSG00000027575,Arfgap1,chr2,180608850,180624899,156651
ENSMUSG00000027577,Chrna4,chr2,180660173,180685339,11478
ENSMUSG00000027579,Srms,chr2,180847355,180854978,2562
ENSMUSG00000027580,Helz2,chr2,180869408,180883841,31214
ENSMUSG00000027581,Stmn3,chr2,180948247,180956293,9925
ENSMUSG00000027582,Zgpat,chr2,181006705,181025428,35647
ENSMUSG00000027583,Zbtb46,chr2,181012111,181104879,43518
ENSMUSG00000027584,Oprl1,chr2,181356605,181363728,42464
ENSMUSG00000027589,Pcmtd2,chr2,181479647,181499854,72538
ENSMUSG00000027593,Raly,chr2,154632968,154709181,38795
ENSMUSG00000027596,a,chr2,154633322,154892939,2285
ENSMUSG00000027597,Ahcy,chr2,154901230,154916422,12292
ENSMUSG00000027598,Itch,chr2,154975388,155069532,53956
ENSMUSG00000027599,Armc1,chr3,19183243,19217324,111458
ENSMUSG00000027601,Mtfr1,chr3,19241490,19287514,52428
ENSMUSG00000027602,Map1lc3a,chr2,155118217,155119998,6209
ENSMUSG00000027603,Ggt7,chr2,155331452,155360157,53451
ENSMUSG00000027605,Acss2,chr2,155355679,155428016,94842
ENSMUSG00000027606,Dnajc5b,chr3,19561429,19665026,13588
ENSMUSG00000027610,Gss,chr2,155405096,155455505,32729
ENSMUSG00000027611,Procr,chr2,155593031,155597397,1609
ENSMUSG00000027612,Mmp24,chr2,155617098,155660319,13957
ENSMUSG00000027613,Eif6,chr2,155661748,155668845,14931
ENSMUSG00000027615,Hps3,chr3,20050106,20089488,33370
ENSMUSG00000027618,Nfs1,chr2,155965556,155986374,36183
ENSMUSG00000027620,Rbm39,chr2,155988271,156022305,51443
ENSMUSG00000027624,Epb41l1,chr2,156262279,156385520,489296
ENSMUSG00000027628,Aar2,chr2,156388884,156410892,49104
ENSMUSG00000027630,Tbl1xr1,chr3,22129947,22270770,175780
ENSMUSG00000027634,Ndrg3,chr2,156769259,156834154,242655
ENSMUSG00000027635,Dsn1,chr2,156835180,156849074,56672
ENSMUSG00000027636,Sla2,chr2,156714342,156729160,12794
ENSMUSG00000027637,Rab5if,chr2,156704945,156715483,5341
ENSMUSG00000027639,Samhd1,chr2,156939453,156977187,17094
ENSMUSG00000027641,Rbl1,chr2,156987813,157046475,30297
ENSMUSG00000027642,Rpn2,chr2,157120893,157168362,82701
ENSMUSG00000027643,Ghrh,chr2,157171414,157191485,3827
ENSMUSG00000027646,Src,chr2,157260355,157313782,110461
ENSMUSG00000027649,Ctnnbl1,chr2,157579281,157733823,57228
ENSMUSG00000027650,Tti1,chr2,157823379,157871616,41776
ENSMUSG00000027651,Rprd1b,chr2,157870344,157974217,51073
ENSMUSG00000027652,Ralgapb,chr2,158251703,158342028,87927
ENSMUSG00000027654,Fam83d,chr2,158610009,158628557,2266
ENSMUSG00000027655,Dhx35,chr2,158636694,158701543,32687
ENSMUSG00000027656,Ccn5,chr2,163662753,163675066,3758
ENSMUSG00000027660,Skil,chr3,31148816,31176740,40960
ENSMUSG00000027661,Slc2a10,chr2,165345336,165361838,12307
ENSMUSG00000027663,Zmat3,chr3,32388941,32420163,47064
ENSMUSG00000027665,Pik3ca,chr3,32451820,32522635,26535
ENSMUSG00000027667,Zfp639,chr3,32564408,32577574,10931
ENSMUSG00000027668,Mfn1,chr3,32583599,32645888,175431
ENSMUSG00000027669,Gnb4,chr3,32632743,32671909,117778
ENSMUSG00000027670,Ocstamp,chr2,165235680,165242336,6336
ENSMUSG00000027671,Actl6a,chr3,32760447,32781128,19651
ENSMUSG00000027673,Ndufb5,chr3,32791139,32805715,18238
ENSMUSG00000027674,Pex5l,chr3,33002537,33197396,48648
ENSMUSG00000027676,Ccdc39,chr3,33864905,33898478,43139
ENSMUSG00000027677,Ttc14,chr3,33853861,33869009,81555
ENSMUSG00000027678,Ncoa3,chr2,165834534,165915162,78443
ENSMUSG00000027679,Dnajc19,chr3,34078239,34135482,7674
ENSMUSG00000027680,Fxr1,chr3,34074019,34124803,99814
ENSMUSG00000027684,Mecom,chr3,30005439,30602157,98111
ENSMUSG00000027690,Slc2a2,chr3,28752051,28785508,8024
ENSMUSG00000027692,Tnik,chr3,28317363,28730007,122741
ENSMUSG00000027695,Pld1,chr3,27992788,28188692,30931
ENSMUSG00000027698,Nceh1,chr3,27236975,27338764,17638
ENSMUSG00000027699,Ect2,chr3,27151371,27208029,72359
ENSMUSG00000027702,Lrrc34,chr3,30678395,30704951,33692
ENSMUSG00000027703,Lrriq4,chr3,30698656,30726593,8448
ENSMUSG00000027706,Sec62,chr3,30847022,30876314,25855
ENSMUSG00000027708,Dcun1d1,chr3,35945341,35991594,32411
ENSMUSG00000027709,Mccc1,chr3,36010879,36054881,38236
ENSMUSG00000027710,Acad9,chr3,36120128,36148877,34294
ENSMUSG00000027712,Anxa5,chr3,36503072,36530126,20527
ENSMUSG00000027713,1810062G17Rik,chr3,36529359,36536602,11081
ENSMUSG00000027714,Exosc9,chr3,36606742,36620080,8091
ENSMUSG00000027715,Ccna2,chr3,36619014,36626299,11761
ENSMUSG00000027716,Trpc3,chr3,36674629,36744317,16974
ENSMUSG00000027718,Il21,chr3,37276908,37286785,3601
ENSMUSG00000027719,Adad1,chr3,37117676,37176079,6097
ENSMUSG00000027720,Il2,chr3,37174672,37180108,1144
ENSMUSG00000027722,Afg2a,chr3,37473984,37636844,85015
ENSMUSG00000027737,Slc7a11,chr3,49846975,50398070,29078
ENSMUSG00000027739,Rab33b,chr3,51391341,51403653,6649
ENSMUSG00000027742,Cog6,chr3,52860989,52924674,53792
ENSMUSG00000027744,Stoml3,chr3,53396074,53415923,3418
ENSMUSG00000027746,Ufm1,chr3,53760796,53771251,46420
ENSMUSG00000027748,Trpc4,chr3,54062980,54226123,6690
ENSMUSG00000027750,Postn,chr3,54268501,54298471,21934
ENSMUSG00000027751,Supt20,chr3,54600133,54636244,421651
ENSMUSG00000027752,Exosc8,chr3,54635907,54642814,12405
ENSMUSG00000027761,Aadac,chr3,59933138,59948549,6130
ENSMUSG00000027762,Sucnr1,chr3,59989283,59994987,1578
ENSMUSG00000027763,Mbnl1,chr3,60380102,60537183,141804
ENSMUSG00000027765,P2ry1,chr3,60910159,60916403,21248
ENSMUSG00000027770,Dhx36,chr3,62375284,62414489,17409
ENSMUSG00000027774,Gfm1,chr3,67337425,67383863,47176
ENSMUSG00000027775,Mfsd1,chr3,67490045,67511596,35941
ENSMUSG00000027776,Il12a,chr3,68597977,68605880,2647
ENSMUSG00000027777,Schip1,chr3,67971732,68533818,37470
ENSMUSG00000027778,Ift80,chr3,68799832,68911920,47698
ENSMUSG00000027782,Kpna4,chr3,68974482,69034446,32986
ENSMUSG00000027784,Ppm1l,chr3,69224179,69468135,18702
ENSMUSG00000027787,Nmd3,chr3,69629282,69672024,29246
ENSMUSG00000027788,Otol1,chr3,69914946,69936041,2161
ENSMUSG00000027790,Sis,chr3,72795890,72875196,11840
ENSMUSG00000027792,Bche,chr3,73543141,73615748,6210
ENSMUSG00000027793,Ccna1,chr3,54952890,54963088,14709
ENSMUSG00000027794,Sohlh2,chr3,55089265,55117382,9765
ENSMUSG00000027796,Smad9,chr3,54662963,54708680,26945
ENSMUSG00000027797,Dclk1,chr3,55149618,55446493,169239
ENSMUSG00000027799,Nbea,chr3,55532612,56091178,52576
ENSMUSG00000027800,Tm4sf1,chr3,57193032,57209430,16203
ENSMUSG00000027801,Tm4sf4,chr3,57294744,57349216,3342
ENSMUSG00000027803,Wwtr1,chr3,57363067,57483331,33328
ENSMUSG00000027804,Ppid,chr3,79498649,79512483,41134
ENSMUSG00000027805,Pfn2,chr3,57738719,57755519,26645
ENSMUSG00000027806,Tsc22d2,chr3,58322110,58374204,19526
ENSMUSG00000027808,Serp1,chr3,58427238,58433318,14429
ENSMUSG00000027809,Etfdh,chr3,79511086,79536807,49516
ENSMUSG00000027810,Eif2a,chr3,58432735,58465412,17236
ENSMUSG00000027811,4930579G24Rik,chr3,79536382,79540395,4395
ENSMUSG00000027820,Mme,chr3,63148889,63293451,66340
ENSMUSG00000027822,Slc33a1,chr3,63840928,63872231,31410
ENSMUSG00000027823,Gmps,chr3,63883515,63931037,109818
ENSMUSG00000027824,Vmn2r1,chr3,63988968,64016905,13489
ENSMUSG00000027827,Kcnab1,chr3,64856617,65285647,37936
ENSMUSG00000027828,Ssr3,chr3,65287076,65300044,19177
ENSMUSG00000027829,Ccnl1,chr3,65852589,65865686,6462
ENSMUSG00000027831,Veph1,chr3,65960979,66204258,6431
ENSMUSG00000027832,Ptx3,chr3,66127331,66133226,1898
ENSMUSG00000027833,Shox2,chr3,66879058,66889284,8523
ENSMUSG00000027834,Serpini1,chr3,75464800,75550802,74100
ENSMUSG00000027835,Pdcd10,chr3,75423789,75464748,37761
ENSMUSG00000027840,Wnt2b,chr3,104851289,104869237,4617
ENSMUSG00000027843,Ptpn22,chr3,103767062,103819565,5664
ENSMUSG00000027845,Dclre1b,chr3,103707915,103716883,26356
ENSMUSG00000027848,Olfml3,chr3,103629538,103645322,5470
ENSMUSG00000027849,Syt6,chr3,103482484,103552885,54425
ENSMUSG00000027852,Nras,chr3,102965601,102976171,32534
ENSMUSG00000027854,Sike1,chr3,102902892,102915775,14172
ENSMUSG00000027855,Sycp1,chr3,102725709,102843455,33813
ENSMUSG00000027857,Tshb,chr3,102682781,102690034,3459
ENSMUSG00000027858,Tspan2,chr3,102641813,102708829,19227
ENSMUSG00000027859,Ngf,chr3,102376936,102428329,14083
ENSMUSG00000027860,Vangl1,chr3,102060899,102112057,28148
ENSMUSG00000027861,Casq2,chr3,101993234,102056307,27266
ENSMUSG00000027863,Cd2,chr3,101183215,101195458,5116
ENSMUSG00000027864,Ptgfrn,chr3,100947548,101017720,5902
ENSMUSG00000027865,Gdap2,chr3,100069697,100117908,63658
ENSMUSG00000027867,Spag17,chr3,99792670,100050638,9621
ENSMUSG00000027868,Tbx15,chr3,99147697,99294185,21335
ENSMUSG00000027869,Hsd3b6,chr3,98712820,98721765,3348
ENSMUSG00000027870,Hao2,chr3,98779164,98802824,63677
ENSMUSG00000027871,Hsd3b1,chr3,98757367,98767116,68744
ENSMUSG00000027875,Hmgcs2,chr3,98187537,98218054,12590
ENSMUSG00000027876,Reg4,chr3,98129468,98144066,4071
ENSMUSG00000027878,Notch2,chr3,97920800,98057677,11281
ENSMUSG00000027879,Sec22b,chr3,97808499,97830592,17220
ENSMUSG00000027880,Slc25a54,chr3,108987765,109024004,1673
ENSMUSG00000027881,Prpf38b,chr3,108808326,108819067,8781
ENSMUSG00000027882,Stxbp3,chr3,108700489,108747919,22773
ENSMUSG00000027883,Gpsm2,chr3,108583861,108629640,20298
ENSMUSG00000027884,Clcc1,chr3,108561195,108590801,48218
ENSMUSG00000027886,Cfap276,chr3,108441466,108455185,2511
ENSMUSG00000027887,Sypl2,chr3,108118788,108134027,26445
ENSMUSG00000027889,Ampd2,chr3,107981373,107994224,25182
ENSMUSG00000027890,Gstm4,chr3,107947721,107952210,9801
ENSMUSG00000027893,Ahcyl1,chr3,107562255,107603950,63886
ENSMUSG00000027894,Slc6a17,chr3,107374859,107428439,47488
ENSMUSG00000027895,Kcnc4,chr3,107345603,107367781,41029
ENSMUSG00000027896,Slc16a4,chr3,107198532,107219864,6335
ENSMUSG00000027900,Dram2,chr3,106454446,106483357,127764
ENSMUSG00000027901,Dennd2d,chr3,106389721,106410347,8770
ENSMUSG00000027902,Chil6,chr3,106294700,106313501,3378
ENSMUSG00000027905,Ddx20,chr3,105585586,105600755,17884
ENSMUSG00000027907,S100a11,chr3,93414382,93435293,10874
ENSMUSG00000027908,Tchhl1,chr3,93376059,93379287,2068
ENSMUSG00000027912,Lce1m,chr3,92925117,92926367,874
ENSMUSG00000027913,Crct1,chr3,92921508,92923001,2941
ENSMUSG00000027919,Lce1g,chr3,92657455,92659645,925
ENSMUSG00000027923,Lce1b,chr3,92562957,92564233,647
ENSMUSG00000027925,Sprr2j-ps,chr3,92325389,92326703,678
ENSMUSG00000027927,Lelp1,chr3,92042285,92050062,4772
ENSMUSG00000027931,Npr1,chr3,90356458,90373748,117306
ENSMUSG00000027932,Slc27a3,chr3,90291676,90297320,18274
ENSMUSG00000027933,Ints3,chr3,90297744,90341014,52919
ENSMUSG00000027935,Rab13,chr3,90121002,90133696,7451
ENSMUSG00000027936,Crtc2,chr3,90161460,90171432,13162
ENSMUSG00000027937,Jtb,chr3,90138896,90150612,8888
ENSMUSG00000027938,Creb3l4,chr3,90144103,90150845,11015
ENSMUSG00000027939,Nup210l,chr3,90011439,90119456,15301
ENSMUSG00000027940,Tpm3,chr3,89979949,90008226,48546
ENSMUSG00000027942,4933434E20Rik,chr3,89958877,89970648,41801
ENSMUSG00000027944,Hax1,chr3,89902753,89906279,16272
ENSMUSG00000027947,Il6ra,chr3,89771366,89820719,17281
ENSMUSG00000027950,Chrnb2,chr3,89653502,89671953,28811
ENSMUSG00000027951,Adar,chr3,89622329,89660753,26397
ENSMUSG00000027952,Pmvk,chr3,89361758,89376323,12331
ENSMUSG00000027953,Slc50a1,chr3,89175551,89177906,2977
ENSMUSG00000027954,Efna1,chr3,89179037,89188449,8084
ENSMUSG00000027955,Gask1b,chr3,79791804,79853941,35104
ENSMUSG00000027956,Tmem144,chr3,79718826,79760086,58753
ENSMUSG00000027957,Slc35a3,chr3,116460927,116506480,23468
ENSMUSG00000027959,Sass6,chr3,116388568,116424653,34134
ENSMUSG00000027961,Lrrc39,chr3,116356589,116377747,22945
ENSMUSG00000027962,Vcam1,chr3,115903598,115923355,19548
ENSMUSG00000027963,Extl2,chr3,115800469,115826019,112441
ENSMUSG00000027965,Olfm3,chr3,114697712,114919372,18940
ENSMUSG00000027966,Col11a1,chr3,113824134,114014367,15189
ENSMUSG00000027967,Neurog2,chr3,127426448,127429280,2563
ENSMUSG00000027968,Larp7,chr3,127329247,127347017,23601
ENSMUSG00000027971,Ndst4,chr3,125197722,125522549,20156
ENSMUSG00000027973,1700006A11Rik,chr3,124194638,124219689,2993
ENSMUSG00000027977,Ndst3,chr3,123319815,123484532,30648
ENSMUSG00000027978,Prss12,chr3,123240470,123300398,12705
ENSMUSG00000027981,Rnpc3,chr3,113396372,113423798,29760
ENSMUSG00000027983,Cyp2u1,chr3,131082090,131096876,9738
ENSMUSG00000027984,Hadh,chr3,131027068,131065750,6841
ENSMUSG00000027985,Lef1,chr3,130903919,131018005,37304
ENSMUSG00000027993,Trim2,chr3,84066181,84214184,269088
ENSMUSG00000027994,Mcub,chr3,129707425,129763869,11908
ENSMUSG00000027995,Tlr2,chr3,83743576,83749074,19938
ENSMUSG00000027996,Sfrp2,chr3,83673481,83681623,2150
ENSMUSG00000027997,Casp6,chr3,129695069,129707752,4562
ENSMUSG00000027998,Plrg1,chr3,82962828,82979675,12351
ENSMUSG00000027999,Pla2g12a,chr3,129672211,129690319,12979
ENSMUSG00000028001,Fga,chr3,82933383,82940934,7329
ENSMUSG00000028003,Lrat,chr3,82799886,82811288,5359
ENSMUSG00000028004,Npy2r,chr3,82444312,82455409,17330
ENSMUSG00000028005,Gucy1b1,chr3,81939312,81982022,13829
ENSMUSG00000028007,Snx7,chr3,117573496,117662943,5606
ENSMUSG00000028008,Asic5,chr3,81889597,81928540,3368
ENSMUSG00000028010,Gar1,chr3,129618560,129625045,13448
ENSMUSG00000028011,Tdo2,chr3,81864248,81883509,10951
ENSMUSG00000028012,Rrh,chr3,129598057,129616236,6125
ENSMUSG00000028013,Ppa2,chr3,133015823,133085200,34843
ENSMUSG00000028015,Ctso,chr3,81839873,81867246,66515
ENSMUSG00000028016,Ints12,chr3,132797589,132816749,9969
ENSMUSG00000028017,Egf,chr3,129470410,129549093,36166
ENSMUSG00000028018,Gstcd,chr3,132687513,132797914,35591
ENSMUSG00000028019,Pdgfc,chr3,80943668,81121473,6258
ENSMUSG00000028020,Glrb,chr3,80749136,80882860,92071
ENSMUSG00000028023,Pitx2,chr3,128993527,129013240,10167
ENSMUSG00000028024,Enpep,chr3,129062824,129126369,8337
ENSMUSG00000028028,Alpk1,chr3,127463323,127574176,13941
ENSMUSG00000028029,Aimp1,chr3,132366242,132390131,12243
ENSMUSG00000028030,Tbck,chr3,132389868,132547890,35144
ENSMUSG00000028031,Dkk2,chr3,131790336,131886065,14510
ENSMUSG00000028032,Papss1,chr3,131270491,131349434,25433
ENSMUSG00000028033,Kcnq5,chr1,21468627,22032166,18784
ENSMUSG00000028034,Fubp1,chr3,151915537,151942469,90136
ENSMUSG00000028035,Dnajb4,chr3,151884148,151916665,121328
ENSMUSG00000028036,Ptgfr,chr3,151502139,151543267,13001
ENSMUSG00000028037,Ifi44,chr3,151436559,151455625,5775
ENSMUSG00000028039,Efna3,chr3,89221203,89230272,13935
ENSMUSG00000028040,Efna4,chr3,89240695,89245373,1639
ENSMUSG00000028041,Adam15,chr3,89245846,89257511,127730
ENSMUSG00000028042,Zbtb7b,chr3,89284942,89302144,60399
ENSMUSG00000028044,Cks1b,chr3,89322771,89325717,6589
ENSMUSG00000028047,Thbs3,chr3,89122461,89134144,28149
ENSMUSG00000028048,Gba1,chr3,89109012,89117206,26874
ENSMUSG00000028049,Scamp3,chr3,89084724,89090080,20781
ENSMUSG00000028051,Hcn3,chr3,89053381,89067544,21465
ENSMUSG00000028053,Ash1l,chr3,88857929,88986682,22914
ENSMUSG00000028057,Rit1,chr3,88624131,88641162,63909
ENSMUSG00000028059,Arhgef2,chr3,88513273,88556837,104666
ENSMUSG00000028060,Khdc4,chr3,88593098,88620245,25027
ENSMUSG00000028062,Lamtor2,chr3,88457115,88460381,8165
ENSMUSG00000028063,Lmna,chr3,88387454,88417299,28721
ENSMUSG00000028064,Sema4a,chr3,88343262,88372558,81500
ENSMUSG00000028066,Pmf1,chr3,88294051,88317739,19490
ENSMUSG00000028068,Iqgap3,chr3,87989278,88028356,20361
ENSMUSG00000028069,Gpatch4,chr3,87950404,87963361,25630
ENSMUSG00000028070,Naxe,chr3,87963822,87965876,14889
ENSMUSG00000028071,Sh2d2a,chr3,87754062,87763111,9656
ENSMUSG00000028072,Ntrk1,chr3,87685248,87702567,18175
ENSMUSG00000028073,Pear1,chr3,87655197,87676403,31812
ENSMUSG00000028076,Cd1d1,chr3,86903132,86906770,10563
ENSMUSG00000028078,Dclk2,chr3,86690138,86828316,235896
ENSMUSG00000028080,Lrba,chr3,86131505,86690011,75617
ENSMUSG00000028081,Rps3a1,chr3,86045244,86050009,7968
ENSMUSG00000028082,Sh3d19,chr3,85878378,86037833,63420
ENSMUSG00000028085,Gatb,chr3,85481386,85562942,62627
ENSMUSG00000028086,Fbxw7,chr3,84721891,84886762,17632
ENSMUSG00000028088,Fmo5,chr3,97531564,97562598,19945
ENSMUSG00000028089,Chd1l,chr3,97467399,97517569,55376
ENSMUSG00000028093,Acp6,chr3,97066080,97086583,19419
ENSMUSG00000028096,Gpr89,chr3,96775576,96812662,10860
ENSMUSG00000028098,Rnf115,chr3,96634848,96699332,13608
ENSMUSG00000028099,Polr3c,chr3,96616504,96635128,50626
ENSMUSG00000028100,Nudt17,chr3,96612849,96615911,16613
ENSMUSG00000028101,Pias3,chr3,96603700,96613386,20377
ENSMUSG00000028102,Pex11b,chr3,96542692,96552688,12827
ENSMUSG00000028104,Polr3gl,chr3,96485188,96505679,12723
ENSMUSG00000028106,Rprd2,chr3,95667653,95726692,38965
ENSMUSG00000028107,Tars2,chr3,95647269,95667518,66020
ENSMUSG00000028108,Ecm1,chr3,95640761,95646943,52644
ENSMUSG00000028109,Hormad1,chr3,95466938,95495179,26661
ENSMUSG00000028111,Ctsk,chr3,95406178,95416732,13068
ENSMUSG00000028114,Mettl14,chr3,123154348,123179757,31319
ENSMUSG00000028115,Bnipl,chr3,95148582,95158504,4643
ENSMUSG00000028116,Myoz2,chr3,122797610,122828664,29918
ENSMUSG00000028121,Bcar3,chr3,122086241,122332834,36338
ENSMUSG00000028124,Gclm,chr3,122039126,122065061,29710
ENSMUSG00000028125,Abca4,chr3,121838092,121973772,10871
ENSMUSG00000028126,Pip5k1a,chr3,94964216,95014251,50561
ENSMUSG00000028127,Abcd3,chr3,121552423,121609141,25879
ENSMUSG00000028128,F3,chr3,121516610,121528820,8384
ENSMUSG00000028132,Tlcd4,chr3,120995410,121076784,88533
ENSMUSG00000028133,Rwdd3,chr3,120947144,120965446,20322
ENSMUSG00000028134,Ptbp2,chr3,119509386,119578115,18638
ENSMUSG00000028136,Snx27,chr3,94399419,94490078,55599
ENSMUSG00000028137,Celf3,chr3,94385602,94399505,22267
ENSMUSG00000028138,Adh5,chr3,138148828,138161260,6932
ENSMUSG00000028139,Riiad1,chr3,94372290,94387648,630
ENSMUSG00000028140,Mrpl9,chr3,94350594,94358437,15233
ENSMUSG00000028141,Oaz3,chr3,94339721,94351222,3374
ENSMUSG00000028145,Them4,chr3,94217365,94239848,3958
ENSMUSG00000028148,Them5,chr3,94249400,94254659,2635
ENSMUSG00000028149,Rap1gds1,chr3,138631658,138781174,112389
ENSMUSG00000028150,Rorc,chr3,94280101,94305583,25455
ENSMUSG00000028152,Tspan5,chr3,138447922,138637056,63497
ENSMUSG00000028156,Eif4e,chr3,138231936,138265457,33628
ENSMUSG00000028158,Mttp,chr3,137795612,137850729,75336
ENSMUSG00000028159,Dapp1,chr3,137636762,137687335,16512
ENSMUSG00000028161,Ppp3ca,chr3,136375445,136643491,135178
ENSMUSG00000028163,Nfkb1,chr3,135290264,135397742,22549
ENSMUSG00000028164,Manba,chr3,135191125,135278908,38607
ENSMUSG00000028165,Cisd2,chr3,135112171,135129686,26130
ENSMUSG00000028167,Bdh2,chr3,134986982,135010187,8320
ENSMUSG00000028172,Tacr3,chr3,134534755,134640340,3775
ENSMUSG00000028173,Wls,chr3,159545287,159644557,33598
ENSMUSG00000028174,Rpe65,chr3,159304802,159330958,5185
ENSMUSG00000028175,Depdc1a,chr3,159201046,159235592,13063
ENSMUSG00000028176,Lrrc7,chr3,157785560,158267927,65607
ENSMUSG00000028179,Cth,chr3,157599868,157630739,12026
ENSMUSG00000028180,Zranb2,chr3,157239745,157254121,56696
ENSMUSG00000028182,Lrriq3,chr3,154799048,154899919,18944
ENSMUSG00000028184,Adgrl2,chr3,148518957,148696229,440121
ENSMUSG00000028185,Dnase2b,chr3,146286738,146321351,10465
ENSMUSG00000028186,Uox,chr3,146276181,146338060,12389
ENSMUSG00000028187,Rpf1,chr3,146208926,146227206,12343
ENSMUSG00000028188,Spata1,chr3,146162567,146206316,21345
ENSMUSG00000028189,Ctbs,chr3,146155550,146174064,16812
ENSMUSG00000028191,Bcl10,chr3,145628559,145641006,5552
ENSMUSG00000028194,Ddah1,chr3,145464361,145600032,20780
ENSMUSG00000028195,Ccn1,chr3,145352720,145355738,4056
ENSMUSG00000028197,Col24a1,chr3,144998233,145257766,7143
ENSMUSG00000028199,Cryz,chr3,154290188,154330784,33218
ENSMUSG00000028207,Asph,chr4,9448069,9669357,337743
ENSMUSG00000028211,Trp53inp1,chr4,11156412,11175230,17599
ENSMUSG00000028212,Ccne2,chr4,11190303,11204947,46860
ENSMUSG00000028214,Gem,chr4,11704343,11714993,13825
ENSMUSG00000028217,Cdh17,chr4,11758147,11817895,10189
ENSMUSG00000028218,Cibar1,chr4,12100410,12172031,9396
ENSMUSG00000028221,Pip4p2,chr4,14864000,14915507,12404
ENSMUSG00000028222,Calb1,chr4,15881155,15908085,37628
ENSMUSG00000028223,Decr1,chr4,15912432,15945649,19784
ENSMUSG00000028224,Nbn,chr4,15957896,15993588,7590
ENSMUSG00000028226,Mmp16,chr4,17852844,18125390,47806
ENSMUSG00000028228,Cpne3,chr4,19519249,19570122,36415
ENSMUSG00000028229,Rmdn1,chr4,19575049,19609068,34865
ENSMUSG00000028232,Tmem68,chr4,3549038,3575165,43726
ENSMUSG00000028233,Tgs1,chr4,3574579,3618325,25587
ENSMUSG00000028234,Rps20,chr4,3792164,3835669,16487
ENSMUSG00000028236,Sdr16c5,chr4,3995936,4019663,1385
ENSMUSG00000028238,Atp6v0d2,chr4,19876838,19922614,5096
ENSMUSG00000028240,Cyp7a1,chr4,6265612,6275633,4172
ENSMUSG00000028243,Ubxn2b,chr4,6191007,6221688,28124
ENSMUSG00000028245,Nsmaf,chr4,6396190,6454343,34909
ENSMUSG00000028246,Faxc,chr4,21931120,21998372,2627
ENSMUSG00000028247,Coq3,chr4,21879624,21913961,13046
