gene_id,gene_symbol,exon_length_bp
ENSMUSG00000024188,Luc7l,34073
ENSMUSG00000024190,Dusp1,9350
ENSMUSG00000024191,Bnip1,9379
ENSMUSG00000024193,Phf1,19684
ENSMUSG00000024194,Cuta,17770
ENSMUSG00000024197,Plin3,66485
ENSMUSG00000024201,Kdm4b,261095
ENSMUSG00000024206,Rfx2,30456
ENSMUSG00000024207,Acsbg2,2609
ENSMUSG00000024208,Uqcc2,4090
ENSMUSG00000024209,Acsbg3,7608
ENSMUSG00000024210,Ip6k3,29101
ENSMUSG00000024211,Grm8,10478
ENSMUSG00000024212,Mllt1,44183
ENSMUSG00000024213,Nudt3,22236
ENSMUSG00000024215,Spdef,3798
ENSMUSG00000024217,Snrpc,8276
ENSMUSG00000024218,Taf11,6850
ENSMUSG00000024219,Anks1,36780
ENSMUSG00000024220,Zfp523,55622
ENSMUSG00000024222,Fkbp5,83533
ENSMUSG00000024223,Armc12,3725
ENSMUSG00000024224,Clpsl2,522
ENSMUSG00000024225,Clps,2344
ENSMUSG00000024227,Pdzph1,5286
ENSMUSG00000024228,Nudt12,40625
ENSMUSG00000024231,Cul2,181706
ENSMUSG00000024232,Bambi,10249
ENSMUSG00000024233,Lyzl1,2400
ENSMUSG00000024234,Mtpap,37359
ENSMUSG00000024235,Map3k8,5463
ENSMUSG00000024236,Svil,207312
ENSMUSG00000024238,Zeb1,17598
ENSMUSG00000024240,Epc1,14637
ENSMUSG00000024241,Sos1,30820
ENSMUSG00000024242,Map4k3,115664
ENSMUSG00000024245,Tmem178,18028
ENSMUSG00000024246,Thumpd2,21062
ENSMUSG00000024247,Pkdcc,17175
ENSMUSG00000024248,Cox7a2l,20022
ENSMUSG00000024251,Thada,43554
ENSMUSG00000024253,Dync2li1,7027
ENSMUSG00000024254,Abcg8,14585
ENSMUSG00000024256,Adcyap1,13946
ENSMUSG00000024258,Polr2d,4562
ENSMUSG00000024259,Slc25a46,56862
ENSMUSG00000024260,Sap130,44711
ENSMUSG00000024261,Syt4,11890
ENSMUSG00000024266,Adad2,4019
ENSMUSG00000024268,Celf4,501246
ENSMUSG00000024269,Tpgs2,36684
ENSMUSG00000024270,Slc39a6,33615
ENSMUSG00000024271,Elp2,98537
ENSMUSG00000024273,2700062C07Rik,10613
ENSMUSG00000024276,Zfp397,114186
ENSMUSG00000024277,Mapre2,46693
ENSMUSG00000024283,Wac,158494
ENSMUSG00000024286,Ccny,34019
ENSMUSG00000024287,Thoc1,28835
ENSMUSG00000024290,Rock1,7104
ENSMUSG00000024292,Cyp4f14,62465
ENSMUSG00000024293,Esco1,45449
ENSMUSG00000024294,Mib1,27565
ENSMUSG00000024298,Zfp871,21827
ENSMUSG00000024299,Adamts10,31577
ENSMUSG00000024300,Myo1f,22388
ENSMUSG00000024301,Kifc5b,11212
ENSMUSG00000024302,Dtna,266584
ENSMUSG00000024304,Cdh2,35046
ENSMUSG00000024306,Ccdc178,10284
ENSMUSG00000024308,Tapbp,28903
ENSMUSG00000024309,Pfdn6,7226
ENSMUSG00000024312,Wdr46,6675
ENSMUSG00000024313,Mep1b,2947
ENSMUSG00000024317,Rnf138,93979
ENSMUSG00000024319,Vps52,37868
ENSMUSG00000024325,Ring1,7727
ENSMUSG00000024327,Slc39a7,3870
ENSMUSG00000024330,Col11a2,82665
ENSMUSG00000024331,Dsc2,18986
ENSMUSG00000024334,H2-Oa,1208
ENSMUSG00000024335,Brd2,21761
ENSMUSG00000024338,Psmb8,3401
ENSMUSG00000024339,Tap2,7310
ENSMUSG00000024340,Btnl2,3387
ENSMUSG00000024346,Pfdn1,19898
ENSMUSG00000024347,Psd2,104878
ENSMUSG00000024349,Sting1,18294
ENSMUSG00000024350,Dnajc18,26612
ENSMUSG00000024352,Spata24,16830
ENSMUSG00000024353,Mzb1,1127
ENSMUSG00000024354,Slc23a1,9496
ENSMUSG00000024357,Sil1,51591
ENSMUSG00000024359,Hspa9,47002
ENSMUSG00000024360,Etf1,18095
ENSMUSG00000024365,Cyp21a1,50828
ENSMUSG00000024366,Gfra3,3984
ENSMUSG00000024369,Nelfe,56311
ENSMUSG00000024370,Cdc23,82878
ENSMUSG00000024371,C2,24047
ENSMUSG00000024376,Epb41l4a,76106
ENSMUSG00000024378,Stard4,21104
ENSMUSG00000024379,Tslp,1126
ENSMUSG00000024381,Bin1,325987
ENSMUSG00000024382,Ercc3,10677
ENSMUSG00000024383,Map3k2,34415
ENSMUSG00000024384,Iws1,57617
ENSMUSG00000024386,Proc,30885
ENSMUSG00000024387,Csnk2b,15221
ENSMUSG00000024388,Myo7b,6621
ENSMUSG00000024391,Apom,2020
ENSMUSG00000024392,Bag6,253239
ENSMUSG00000024393,Prrc2a,56861
ENSMUSG00000024395,Lims2,12583
ENSMUSG00000024397,Aif1,49132
ENSMUSG00000024399,Ltb,2116
ENSMUSG00000024400,Wdr33,102746
ENSMUSG00000024401,Tnf,3230
ENSMUSG00000024402,Lta,4189
ENSMUSG00000024403,Atp6v1g2,11120
ENSMUSG00000024404,Riok3,58536
ENSMUSG00000024406,Pou5f1,16145
ENSMUSG00000024409,Psors1c2,1102
ENSMUSG00000024410,Rmc1,23222
ENSMUSG00000024411,Aqp4,58610
ENSMUSG00000024413,Npc1,15885
ENSMUSG00000024414,Mrpl27,9014
ENSMUSG00000024420,Zfp521,62435
ENSMUSG00000024421,Lama3,20407
ENSMUSG00000024422,Dhx16,39979
ENSMUSG00000024423,Impact,22449
ENSMUSG00000024424,Ttc39c,55649
ENSMUSG00000024425,Ndfip1,62738
ENSMUSG00000024426,Atat1,30604
ENSMUSG00000024427,Spry4,31679
ENSMUSG00000024429,Gnl1,34822
ENSMUSG00000024430,Cabyr,21220
ENSMUSG00000024431,Nr3c1,25318
ENSMUSG00000024436,Mrps18b,23947
ENSMUSG00000024440,Pcdh12,8251
ENSMUSG00000024442,Dele1,35282
ENSMUSG00000024446,Rpp21,7118
ENSMUSG00000024448,H2-M10.1,1394
ENSMUSG00000024451,Arap3,25672
ENSMUSG00000024454,Hdac3,30223
ENSMUSG00000024456,Diaph1,17102
ENSMUSG00000024457,Trim26,26800
ENSMUSG00000024459,H2-M5,3572
ENSMUSG00000024462,Gabbr1,39800
ENSMUSG00000024471,Myot,51591
ENSMUSG00000024472,Dcp2,9083
ENSMUSG00000024474,Ik,466
ENSMUSG00000024477,Pggt1b,60881
ENSMUSG00000024479,Mal2,8723
ENSMUSG00000024480,Ap3s1,15023
ENSMUSG00000024481,Lvrn,11302
ENSMUSG00000024483,Ankhd1,21888
ENSMUSG00000024485,Slc4a9,20842
ENSMUSG00000024486,Hbegf,7019
ENSMUSG00000024487,Yipf5,18208
ENSMUSG00000024491,Rbm27,25222
ENSMUSG00000024493,Lars1,39760
ENSMUSG00000024497,Pou4f3,4746
ENSMUSG00000024498,Tcerg1,48600
ENSMUSG00000024500,Ppp2r2b,29007
ENSMUSG00000024501,Dpysl3,21504
ENSMUSG00000024502,Jakmip2,64781
ENSMUSG00000024503,Spink1,3403
ENSMUSG00000024505,Dtwd2,6002
ENSMUSG00000024507,Hsd17b4,50783
ENSMUSG00000024510,Ftmt,1448
ENSMUSG00000024511,Rab27b,65087
ENSMUSG00000024512,Dynap,1225
ENSMUSG00000024513,Mbd2,43608
ENSMUSG00000024515,Smad4,101678
ENSMUSG00000024516,Sec11c,4959
ENSMUSG00000024517,Grp,12683
ENSMUSG00000024518,Rax,4900
ENSMUSG00000024519,Cplx4,1815
ENSMUSG00000024521,Pmaip1,7805
ENSMUSG00000024524,Gnal,49174
ENSMUSG00000024525,Impa2,35717
ENSMUSG00000024526,Cidea,3046
ENSMUSG00000024527,Afg3l2,59729
ENSMUSG00000024528,Srfbp1,19051
ENSMUSG00000024529,Lox,23295
ENSMUSG00000024530,Prelid3a,11286
ENSMUSG00000024532,1700034E13Rik,7398
ENSMUSG00000024533,Spire1,121198
ENSMUSG00000024534,Sncaip,65338
ENSMUSG00000024535,Snx24,39622
ENSMUSG00000024537,Psmg2,12691
ENSMUSG00000024538,Ppic,7405
ENSMUSG00000024539,Ptpn2,22951
ENSMUSG00000024542,Cep192,26454
ENSMUSG00000024544,Ldlrad4,170915
ENSMUSG00000024548,Setbp1,10576
ENSMUSG00000024552,Slc14a2,13155
ENSMUSG00000024553,Galr1,6809
ENSMUSG00000024556,Me2,55282
ENSMUSG00000024558,Mapk4,46996
ENSMUSG00000024560,Cxxc1,99176
ENSMUSG00000024561,Mbd1,136214
ENSMUSG00000024563,Smad2,236698
ENSMUSG00000024565,Sall3,11938
ENSMUSG00000024566,Atp9b,175584
ENSMUSG00000024570,Rbfa,2822
ENSMUSG00000024571,Naa12,66769
ENSMUSG00000024575,Pde6a,4588
ENSMUSG00000024576,Csnk1a1,84117
ENSMUSG00000024578,Il17b,693
ENSMUSG00000024579,Pcyox1l,13370
ENSMUSG00000024580,Grpel2,26612
ENSMUSG00000024581,Napg,61823
ENSMUSG00000024583,Txnl1,25935
ENSMUSG00000024587,Nars1,63275
ENSMUSG00000024588,Fech,105027
ENSMUSG00000024589,Nedd4l,156832
ENSMUSG00000024590,Lmnb1,24676
ENSMUSG00000024592,C330018D20Rik,58961
ENSMUSG00000024593,Megf10,19757
ENSMUSG00000024594,Prrc1,75680
ENSMUSG00000024597,Slc12a2,46200
ENSMUSG00000024598,Fbn2,21468
ENSMUSG00000024600,Slc27a6,3504
ENSMUSG00000024601,Isoc1,26469
ENSMUSG00000024603,Dctn4,31451
ENSMUSG00000024604,Rbm22,8834
ENSMUSG00000024608,Rps14,14546
ENSMUSG00000024610,Cd74,11678
ENSMUSG00000024613,Tcof1,67479
ENSMUSG00000024614,Tmx3,52979
ENSMUSG00000024617,Camk2a,63681
ENSMUSG00000024619,Cdx1,3537
ENSMUSG00000024620,Pdgfrb,24824
ENSMUSG00000024621,Csf1r,31020
ENSMUSG00000024622,Hmgxb3,55569
ENSMUSG00000024639,Gnaq,6867
ENSMUSG00000024640,Psat1,27062
ENSMUSG00000024642,Tle4,90698
ENSMUSG00000024644,Cndp2,19034
ENSMUSG00000024645,Timm21,10739
ENSMUSG00000024646,Cyb5a,9491
ENSMUSG00000024647,Cbln2,20613
ENSMUSG00000024650,Slc22a6,9986
ENSMUSG00000024653,Scgb1a1,939
ENSMUSG00000024654,Asrgl1,37445
ENSMUSG00000024659,Anxa1,6935
ENSMUSG00000024660,Incenp,90739
ENSMUSG00000024661,Fth1,13589
ENSMUSG00000024663,Rab3il1,28882
ENSMUSG00000024664,Fads3,21856
ENSMUSG00000024665,Fads2,55801
ENSMUSG00000024666,Tmem138,23006
ENSMUSG00000024667,Tmem216,4198
ENSMUSG00000024668,Sdhaf2,22075
ENSMUSG00000024669,Cd5,6113
ENSMUSG00000024670,Cd6,5947
ENSMUSG00000024672,Ms4a7,5301
ENSMUSG00000024673,Ms4a1,9126
ENSMUSG00000024675,Ms4a4c,5071
ENSMUSG00000024677,Ms4a6b,5220
ENSMUSG00000024678,Ms4a4d,3618
ENSMUSG00000024679,Ms4a6d,2480
ENSMUSG00000024680,Ms4a2,11095
ENSMUSG00000024681,Ms4a3,3037
ENSMUSG00000024682,Cblif,1537
ENSMUSG00000024683,Mrpl16,1162
ENSMUSG00000024687,Osbp,23252
ENSMUSG00000024691,Fam111a,17757
ENSMUSG00000024694,Keg1,9610
ENSMUSG00000024695,Zfp91,15594
ENSMUSG00000024696,Lpxn,12944
ENSMUSG00000024697,Gna14,5813
ENSMUSG00000024712,Rfk,12328
ENSMUSG00000024713,Pcsk5,52147
ENSMUSG00000024725,Ostf1,17572
ENSMUSG00000024726,Carnmt1,23645
ENSMUSG00000024727,Trpm6,6767
ENSMUSG00000024728,Ms4a19,12913
ENSMUSG00000024729,Ms4a20,10023
ENSMUSG00000024730,Ms4a8a,1081
ENSMUSG00000024731,Ms4a10,1982
ENSMUSG00000024732,Ccdc86,7639
ENSMUSG00000024734,Zp1,1963
ENSMUSG00000024735,Prpf19,21140
ENSMUSG00000024736,Tmem132a,44452
ENSMUSG00000024737,Slc15a3,2357
ENSMUSG00000024738,Pga5,1417
ENSMUSG00000024740,Ddb1,60730
ENSMUSG00000024742,Fen1,26812
ENSMUSG00000024743,Syt7,40792
ENSMUSG00000024747,Aldh1a7,5282
ENSMUSG00000024749,Tmc1,6507
ENSMUSG00000024750,Zfand5,170680
ENSMUSG00000024754,Cemip2,43172
ENSMUSG00000024757,Slc22a19,1998
ENSMUSG00000024758,Rtn3,103426
ENSMUSG00000024759,Atl3,16175
ENSMUSG00000024764,Naa40,33183
ENSMUSG00000024766,Lipo3,69856
ENSMUSG00000024767,Otub1,39402
ENSMUSG00000024768,Lipf,1411
ENSMUSG00000024769,Cdc42bpg,5995
ENSMUSG00000024770,Lipn,2529
ENSMUSG00000024771,Lipk,4267
ENSMUSG00000024772,Ehd1,27712
ENSMUSG00000024773,Atg2a,63212
ENSMUSG00000024774,Ankrd22,2846
ENSMUSG00000024776,Stambpl1,38401
ENSMUSG00000024777,Ppp2r5b,58786
ENSMUSG00000024778,Fas,4848
ENSMUSG00000024780,Cdc37l1,99464
ENSMUSG00000024781,Lipa,55141
ENSMUSG00000024782,Ak3,24880
ENSMUSG00000024784,Gpha2,3294
ENSMUSG00000024785,Rcl1,9149
ENSMUSG00000024786,Majin,4365
ENSMUSG00000024787,Snx15,5694
ENSMUSG00000024789,Jak2,80354
ENSMUSG00000024790,Sac3d1,4324
ENSMUSG00000024791,Cdca5,4066
ENSMUSG00000024792,Zfpl1,19079
ENSMUSG00000024793,Tnfrsf25,4718
ENSMUSG00000024795,Kif20b,35414
ENSMUSG00000024797,Vps51,3546
ENSMUSG00000024798,Htr7,17370
ENSMUSG00000024799,Tm7sf2,15318
ENSMUSG00000024800,Rpp30,20754
ENSMUSG00000024803,Ankrd1,14632
ENSMUSG00000024805,Pcgf5,113348
ENSMUSG00000024806,Mlana,1853
ENSMUSG00000024807,Syvn1,23679
ENSMUSG00000024810,Il33,29607
ENSMUSG00000024811,Tnks2,13220
ENSMUSG00000024812,Tjp2,86931
ENSMUSG00000024815,Trpd52l3,2229
ENSMUSG00000024816,Frmd8,55678
ENSMUSG00000024817,Uhrf2,20034
ENSMUSG00000024818,Slc25a45,14371
ENSMUSG00000024824,Rad9a,4105
ENSMUSG00000024826,Dpf2,30540
ENSMUSG00000024827,Gldc,53185
ENSMUSG00000024829,Mrpl21,13226
ENSMUSG00000024830,Rps6kb2,43226
ENSMUSG00000024831,Ighmbp2,27492
ENSMUSG00000024833,Pola2,9952
ENSMUSG00000024835,Coro1b,25044
ENSMUSG00000024837,Dmrt1,8860
ENSMUSG00000024841,Eif1ad,27401
ENSMUSG00000024842,Cabp4,1433
ENSMUSG00000024843,Chka,12856
ENSMUSG00000024844,Banf1,17035
ENSMUSG00000024845,Tmem134,34251
ENSMUSG00000024846,Cst6,7933
ENSMUSG00000024847,Aip,32697
ENSMUSG00000024851,Pitpnm1,108378
ENSMUSG00000024853,Sf3b2,38866
ENSMUSG00000024854,Pold4,3742
ENSMUSG00000024855,Pacs1,31896
ENSMUSG00000024856,Cdk2ap2,3584
ENSMUSG00000024857,Cabp2,2726
ENSMUSG00000024858,Grk2,45391
ENSMUSG00000024862,Klc2,52120
ENSMUSG00000024863,Mbl2,15394
ENSMUSG00000024866,Acy3,6596
ENSMUSG00000024867,Pip5k1b,48729
ENSMUSG00000024868,Dkk1,2427
ENSMUSG00000024869,Gm49405,3904
ENSMUSG00000024870,Rab1b,17790
ENSMUSG00000024871,Doc2g,10641
ENSMUSG00000024873,Cnih2,17801
ENSMUSG00000024875,Yif1a,8196
ENSMUSG00000024878,Zng1,11078
ENSMUSG00000024883,Rin1,39040
ENSMUSG00000024885,Aldh3b1,23811
ENSMUSG00000024887,Asah2,79267
ENSMUSG00000024889,Rce1,17959
ENSMUSG00000024891,Slc29a2,39037
ENSMUSG00000024892,Pcx,67555
ENSMUSG00000024896,Minpp1,15593
ENSMUSG00000024897,Apba1,39234
ENSMUSG00000024899,Papss2,21253
ENSMUSG00000024900,Cpt1a,111969
ENSMUSG00000024901,Peli3,35215
ENSMUSG00000024902,Mrpl11,16561
ENSMUSG00000024903,Lao1,2349
ENSMUSG00000024905,Tesmin,8840
ENSMUSG00000024906,Mus81,6939
ENSMUSG00000024907,Gal,4117
ENSMUSG00000024908,Ppp6r3,136959
ENSMUSG00000024909,Efemp2,36229
ENSMUSG00000024910,Ctsw,2395
ENSMUSG00000024911,Fibp,11080
ENSMUSG00000024912,Fosl1,1864
ENSMUSG00000024913,Lrp5,18218
ENSMUSG00000024914,Drap1,44121
ENSMUSG00000024921,Smarca2,166314
ENSMUSG00000024922,Ovol1,2972
ENSMUSG00000024924,Vldlr,89510
ENSMUSG00000024925,Rnaseh2c,7188
ENSMUSG00000024926,Kat5,24132
ENSMUSG00000024927,Rela,16358
ENSMUSG00000024935,Slc1a1,18875
ENSMUSG00000024936,Kcnk7,2261
ENSMUSG00000024937,Ehbp1l1,171426
ENSMUSG00000024939,Fam89b,3709
ENSMUSG00000024940,Ltbp3,95714
ENSMUSG00000024941,Scyl1,102162
ENSMUSG00000024942,Capn1,33365
ENSMUSG00000024943,Smc5,77313
ENSMUSG00000024944,Arl2,14184
ENSMUSG00000024947,Men1,28563
ENSMUSG00000024948,Map4k2,33865
ENSMUSG00000024949,Sf1,71841
ENSMUSG00000024953,Prdx5,15839
ENSMUSG00000024955,Esrra,13572
ENSMUSG00000024957,Kcnk4,6076
ENSMUSG00000024958,Gpr137,21485
ENSMUSG00000024959,Bad,18571
ENSMUSG00000024960,Plcb3,55079
ENSMUSG00000024962,Vegfb,24816
ENSMUSG00000024963,Dnajc4,15651
ENSMUSG00000024965,Fermt3,17185
ENSMUSG00000024966,Stip1,23074
ENSMUSG00000024968,Rcor2,20609
ENSMUSG00000024969,Mark2,124056
ENSMUSG00000024970,Spindoc,33430
ENSMUSG00000024972,Lgals12,16159
ENSMUSG00000024973,Plaat5,3195
ENSMUSG00000024974,Smc3,23818
ENSMUSG00000024975,Pdcd4,40912
ENSMUSG00000024976,Shoc2,87224
ENSMUSG00000024978,Gpam,211522
ENSMUSG00000024979,Tectb,5603
ENSMUSG00000024981,Acsl5,56127
ENSMUSG00000024982,Zdhhc6,101961
ENSMUSG00000024983,Vti1a,89499
ENSMUSG00000024985,Tcf7l2,56954
ENSMUSG00000024986,Hhex,5087
ENSMUSG00000024987,Cyp26a1,1796
ENSMUSG00000024989,Cep55,75682
ENSMUSG00000024990,Rbp4,3528
ENSMUSG00000024991,Eif3a,20443
ENSMUSG00000024992,Pde6c,5481
ENSMUSG00000024993,Dennd10,17746
ENSMUSG00000024997,Prdx3,10595
ENSMUSG00000024998,Plce1,45234
ENSMUSG00000024999,Noc3l,15613
ENSMUSG00000025001,Hells,63866
ENSMUSG00000025002,Cyp2c55,3162
ENSMUSG00000025003,Cyp2c39,2855
ENSMUSG00000025004,Cyp2c40,14632
ENSMUSG00000025006,Sorbs1,1323851
ENSMUSG00000025007,Aldh18a1,30726
ENSMUSG00000025008,Tctn3,21297
ENSMUSG00000025010,Ccnj,27027
ENSMUSG00000025013,Tll2,13001
ENSMUSG00000025014,Dntt,4200
ENSMUSG00000025016,Tm9sf3,61974
ENSMUSG00000025017,Pik3ap1,4482
ENSMUSG00000025019,Lcor,64642
ENSMUSG00000025020,Slit1,53796
ENSMUSG00000025024,Smndc1,57017
ENSMUSG00000025025,Mxi1,43056
ENSMUSG00000025026,Add3,338158
ENSMUSG00000025027,Xpnpep1,104819
ENSMUSG00000025034,Trim8,46335
ENSMUSG00000025035,Arl3,7586
ENSMUSG00000025036,Sfxn2,26288
ENSMUSG00000025037,Maoa,8184
ENSMUSG00000025038,Efhc2,2554
ENSMUSG00000025040,Fundc1,12832
ENSMUSG00000025041,Nt5c2,141487
ENSMUSG00000025043,Dusp21,845
ENSMUSG00000025044,Msr1,5060
ENSMUSG00000025047,Pdcd11,54645
ENSMUSG00000025049,Taf5,15942
ENSMUSG00000025050,Pcgf6,13514
ENSMUSG00000025051,Samt4,2163
ENSMUSG00000025056,Nr0b1,4734
ENSMUSG00000025058,Tasl,3841
ENSMUSG00000025059,Gk,119559
ENSMUSG00000025060,Slk,60560
ENSMUSG00000025064,Col17a1,11065
ENSMUSG00000025066,Sfr1,6945
ENSMUSG00000025068,Gsto1,7439
ENSMUSG00000025069,Gsto2,14215
ENSMUSG00000025075,Habp2,11869
ENSMUSG00000025076,Casp7,5930
ENSMUSG00000025077,Dclre1a,37085
ENSMUSG00000025078,Nhlrc2,28747
ENSMUSG00000025081,Tdrd1,34282
ENSMUSG00000025082,Vwa2,4049
ENSMUSG00000025083,Afap1l2,38930
ENSMUSG00000025085,Ablim1,83639
ENSMUSG00000025086,Trub1,23378
ENSMUSG00000025089,Gfra1,21809
ENSMUSG00000025090,Ccdc172,54579
ENSMUSG00000025091,Pnliprp2,1605
ENSMUSG00000025092,Hspa12a,59091
ENSMUSG00000025094,Slc18a2,20585
ENSMUSG00000025102,3110040N11Rik,30300
ENSMUSG00000025103,Btbd1,23821
ENSMUSG00000025104,Hdgfl3,61699
ENSMUSG00000025105,Bnc1,4966
ENSMUSG00000025127,Gcgr,12632
ENSMUSG00000025128,Bhlhe22,3344
ENSMUSG00000025129,Ppp1r27,5060
ENSMUSG00000025130,P4hb,24998
ENSMUSG00000025132,Arhgdia,44339
ENSMUSG00000025133,Ints4,145981
ENSMUSG00000025134,Alyref,12215
ENSMUSG00000025135,Anapc11,61468
ENSMUSG00000025137,Pcyt2,46518
ENSMUSG00000025138,Sirt7,7147
ENSMUSG00000025139,Tollip,19239
ENSMUSG00000025140,Pycr1,51682
ENSMUSG00000025141,Myadml2,3011
ENSMUSG00000025142,Aspscr1,68124
ENSMUSG00000025144,Cenpx,14433
ENSMUSG00000025145,Lrrc45,24990
ENSMUSG00000025147,Mob2,20747
ENSMUSG00000025150,Cbr2,3325
ENSMUSG00000025151,Maged1,42118
ENSMUSG00000025153,Fasn,80769
ENSMUSG00000025154,Arhgap19,54248
ENSMUSG00000025155,Dus1l,113290
ENSMUSG00000025156,Gps1,8422
ENSMUSG00000025157,Zdhhc16,75923
ENSMUSG00000025158,Rfng,17890
ENSMUSG00000025159,Mms19,48920
ENSMUSG00000025161,Slc16a3,155929
ENSMUSG00000025162,Csnk1d,51066
ENSMUSG00000025163,Cd7,1922
ENSMUSG00000025165,Sectm1a,5459
ENSMUSG00000025169,Ogfod3,5875
ENSMUSG00000025170,Rab40b,14365
ENSMUSG00000025171,Ubtd1,4254
ENSMUSG00000025172,Ankrd2,7551
ENSMUSG00000025173,Wdr45b,27874
ENSMUSG00000025175,Fn3k,12471
ENSMUSG00000025176,Hoga1,12663
ENSMUSG00000025178,Pi4k2a,36040
ENSMUSG00000025184,R3hcc1l,49461
ENSMUSG00000025185,Loxl4,18681
ENSMUSG00000025188,Hps1,48167
ENSMUSG00000025189,Cnnm1,51266
ENSMUSG00000025190,Got1,25227
ENSMUSG00000025192,Entpd7,22465
ENSMUSG00000025193,Cutc,15975
ENSMUSG00000025194,Abcc2,10542
ENSMUSG00000025195,Dnmbp,27215
ENSMUSG00000025196,Cpn1,11207
ENSMUSG00000025197,Cyp2c23,8959
ENSMUSG00000025198,Erlin1,20153
ENSMUSG00000025199,Chuk,30395
ENSMUSG00000025200,Cwf19l1,9412
ENSMUSG00000025202,Scd3,6142
ENSMUSG00000025203,Scd2,54798
ENSMUSG00000025204,Ndufb8,11612
ENSMUSG00000025207,Sema4g,11827
ENSMUSG00000025208,Mrpl43,3623
ENSMUSG00000025209,Twnk,19877
ENSMUSG00000025212,Sfxn3,39903
ENSMUSG00000025213,Kazald1,27130
ENSMUSG00000025215,Tlx1,5556
ENSMUSG00000025216,Lbx1,12673
ENSMUSG00000025217,Btrc,138549
ENSMUSG00000025218,Poll,16389
ENSMUSG00000025219,Fgf8,6002
ENSMUSG00000025220,Oga,57654
ENSMUSG00000025221,Kcnip2,10786
ENSMUSG00000025223,Ldb1,31479
ENSMUSG00000025224,Gbf1,77373
ENSMUSG00000025225,Nfkb2,63977
ENSMUSG00000025226,Fbxl15,10574
ENSMUSG00000025227,Mfsd13a,63930
ENSMUSG00000025228,Actr1a,28624
ENSMUSG00000025229,Pitx3,13039
ENSMUSG00000025231,Sufu,35418
ENSMUSG00000025232,Hexa,21610
ENSMUSG00000025234,Arih1,53446
ENSMUSG00000025235,Bbs4,37255
ENSMUSG00000025236,Adpgk,9358
ENSMUSG00000025237,Parp6,278265
ENSMUSG00000025239,Limd1,43501
ENSMUSG00000025240,Sacm1l,39582
ENSMUSG00000025241,Fyco1,114919
ENSMUSG00000025243,Slc6a20b,6307
ENSMUSG00000025245,Lztfl1,20417
ENSMUSG00000025246,Tbl1x,76074
ENSMUSG00000025255,Zfhx4,41383
ENSMUSG00000025257,Ribc1,11185
ENSMUSG00000025260,Hsd17b10,7078
ENSMUSG00000025261,Huwe1,85199
ENSMUSG00000025262,Fam120c,7825
ENSMUSG00000025264,Tsr2,18743
ENSMUSG00000025265,Fgd1,52287
ENSMUSG00000025266,Gnl3l,38511
ENSMUSG00000025268,Maged2,10243
ENSMUSG00000025269,Apex2,20796
ENSMUSG00000025270,Alas2,39980
ENSMUSG00000025271,Pfkfb1,7368
ENSMUSG00000025272,Tro,90880
ENSMUSG00000025277,Abhd6,23690
ENSMUSG00000025278,Flnb,39218
ENSMUSG00000025279,Dnase1l3,4747
ENSMUSG00000025280,Polr3a,18820
ENSMUSG00000025283,Sat1,8974
ENSMUSG00000025287,Acot9,21858
ENSMUSG00000025288,4933436I01Rik,1426
ENSMUSG00000025289,Prdx4,5089
ENSMUSG00000025290,Rps24,30692
ENSMUSG00000025314,Ptprj,11831
ENSMUSG00000025316,Banp,129196
ENSMUSG00000025317,Car5a,3891
ENSMUSG00000025318,Jph3,13606
ENSMUSG00000025321,Itgb8,25251
ENSMUSG00000025323,Sp4,26802
ENSMUSG00000025324,Atp10a,32651
ENSMUSG00000025326,Ube3a,167509
ENSMUSG00000025328,Padi3,6395
ENSMUSG00000025329,Padi1,3757
ENSMUSG00000025330,Padi4,19624
ENSMUSG00000025332,Kdm5c,42339
ENSMUSG00000025333,Gpr143,3197
ENSMUSG00000025337,Sbds,14088
ENSMUSG00000025340,Rabgef1,41168
ENSMUSG00000025347,Tmt1b,1255
ENSMUSG00000025348,Itga7,50492
ENSMUSG00000025350,Rdh5,15452
ENSMUSG00000025351,Cd63,39382
ENSMUSG00000025352,Gdf11,4222
ENSMUSG00000025353,Ormdl2,32781
ENSMUSG00000025354,Dnajc14,69952
ENSMUSG00000025355,Mmp19,6738
ENSMUSG00000025357,Dgka,118210
ENSMUSG00000025358,Cdk2,13171
ENSMUSG00000025359,Pmel,2136
ENSMUSG00000025362,Rps26,2729
ENSMUSG00000025364,Pa2g4,8947
ENSMUSG00000025366,Esyt1,24141
ENSMUSG00000025369,Smarcc2,88296
ENSMUSG00000025370,Cdh9,24150
ENSMUSG00000025371,Chmp6,9094
ENSMUSG00000025372,Baiap2,83332
ENSMUSG00000025373,Rnf41,46196
ENSMUSG00000025374,Nabp2,15000
ENSMUSG00000025375,Aatk,65708
ENSMUSG00000025377,Tepsin,31186
ENSMUSG00000025380,Fscn2,2090
ENSMUSG00000025381,Cnpy2,19721
ENSMUSG00000025383,Il23a,2737
ENSMUSG00000025384,Faap100,26279
ENSMUSG00000025386,Pde6g,900
ENSMUSG00000025389,Mip,2151
ENSMUSG00000025393,Atp5f1b,42515
ENSMUSG00000025395,Prim1,4953
ENSMUSG00000025396,Hsd17b6,8944
ENSMUSG00000025400,Tac2,4541
ENSMUSG00000025401,Myo1a,3439
ENSMUSG00000025402,Nab2,17664
ENSMUSG00000025403,Shmt2,28714
ENSMUSG00000025404,R3hdm2,249450
